Nombre del Audio,Frecuencia de Corte Ã“ptima
20220903_111500.WAV,25479.29685546495
20220903_094500.WAV,24867.307100429247
20220903_153000.WAV,26973.690973472214
20220903_150000.WAV,26997.839919427268
20220903_104500.WAV,25217.873309955674
20220903_130000.WAV,26559.96738177387
20220903_141500.WAV,26871.26311637144
20220903_140000.WAV,26508.268361733386
20220903_124500.WAV,26932.63025958966
20220903_134500.WAV,26779.76942544328
20220903_151500.WAV,26679.621415658636
20220903_103000.WAV,27447.299281106156
20220903_114500.WAV,26838.99443033727
20220903_113000.WAV,27002.713468549733
20220903_144500.WAV,27072.91267196927
20220903_154500.WAV,27193.261920443318
20220903_161500.WAV,26795.851507008203
20220903_164500.WAV,26685.14691997585
20220903_163000.WAV,26879.19260092393
20220903_123000.WAV,26992.27027307011
20220903_093000.WAV,25031.08634161236
20220903_131500.WAV,26683.317096641582
20220903_091500.WAV,26973.491238315823
20220903_110000.WAV,25696.583975926373
20220903_143000.WAV,26747.067584451328
20220903_121500.WAV,26937.050898292062
20220903_100000.WAV,25676.706888475186
20220903_133000.WAV,26306.732544932463
20220903_160000.WAV,26886.54670286542
20220903_120000.WAV,27008.862692698396
